Bus,Encoding,Old_Encoding,Oldest_Encoding
S169,79,91,132
S176,52,60,83
S173,27,30,39
S163,36,41,54
S162,69,80,115
S167,77,89,129
S166,60,69,98
S171,18,20,22
S170,26,29,37
S175,33,37,50
S174,43,49,67
S180,17,18,20
S177,74,86,124
S184,67,77,111
S181,32,36,48
S188,50,57,80
S185,58,67,94
S192,15,16,17
S189,76,88,127
S179,40,46,61
S178,66,76,109
S183,31,35,46
S182,57,66,92
S187,23,26,31
S186,41,47,63
S191,24,27,33
S190,49,56,78
S196,29,32,42
S197,63,72,103
S201,39,45,59
S202,72,84,120
S207,20,22,25
S208,45,51,70
S209,78,90,131
S214,46,52,72
S215,54,62,86
S216,80,92,133
S221,25,28,35
S222,35,40,53
S223,61,70,99
S228,34,39,52
S229,59,68,96
S230,68,78,113
S234,42,48,65
S235,75,87,126
S238,16,17,19
S240,51,58,81
